时间,Milkey Tan(DOH),亚托莉(DOQ),亚托莉(DOT),亚托莉(DOH-d),亚托莉(DOH-api),MPO women's clothing(DOQ),MPO women's clothing(DOT),MPO women's clothing(DOH/3),OolongTea(DOH),龙猫 totoro625(DOH),winter(DOH),夏·祈·枫(DOQ),夏·祈·枫(DOT),夏·祈·枫(DOH-IP),夏·祈·枫(DOH),夏·祈·枫(DOH-CDN-1),夏·祈·枫(DOH-CDN-2),🐱(DOQ),🐱(DOT),🐱(DOH/3),MapleCool(UDP),WoadZS赞助加速(UDP),比拉乌拉赞助加速(UDP),张 果果(DOH/3),张 果果(DOQ),张 果果(DOT)
2024-07-06 02:04:47,32,59,63,91,128,2000,161,153,147,223,197,217,234,216,212,525,568,1081,1106,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:05:22,22,2000,58,56,111,114,177,148,223,187,215,227,210,191,248,544,601,1061,1087,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:05:57,25,63,63,2000,267,256,230,282,339,322,287,334,361,372,586,637,713,1076,1101,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:06:32,21,2000,59,62,162,158,175,127,121,183,125,196,254,180,256,572,607,1071,1082,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:07:07,35,59,67,113,121,2000,136,156,154,192,186,222,221,213,240,548,594,1121,2000,1274,2000,2000,2000,2000,2000,2000
2024-07-06 02:07:43,26,2000,89,57,64,133,120,164,196,190,183,214,217,209,237,539,631,1065,1070,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:08:19,27,54,59,2000,138,124,149,181,186,163,202,196,165,242,251,557,607,1098,1109,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:09:27,25,60,2000,57,154,148,158,205,167,202,224,183,219,232,240,550,603,1076,1038,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:10:05,61,59,89,2000,374,365,405,323,354,462,479,352,520,382,580,770,841,1207,1223,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:10:41,25,2000,63,198,59,204,265,230,286,331,302,345,193,185,384,596,593,1077,1082,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:11:16,26,57,61,2000,119,154,197,243,247,225,282,329,361,375,360,579,592,1052,1064,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:11:52,24,2000,60,58,130,145,191,184,202,189,202,234,260,249,261,602,786,1066,1093,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:12:28,29,2000,61,74,162,158,223,223,151,174,200,244,216,215,242,541,836,1095,2000,1884,2000,2000,2000,2000,2000,2000
